position,original_velocity,filtered_velocity,filtered_acc
27.7,4,2.14385,-1
27.8,4,2.09614,-1
27.9,4,2.04729,-1
28,4,1.99723,-1
28.1,4,1.94583,-1
28.2,4,1.89301,-1
28.3,4,1.83862,-1
28.4,4,1.78252,-1
28.5,4,1.72453,-1
28.6,4,1.66445,-1
28.7,4,1.60203,-1
28.8,4,1.53697,-1
28.9,4,1.46889,-1
29,4,1.39732,-1
29.1,4,1.32166,-1
29.2,4,1.24109,-1
29.3,4,1.15447,-1
29.4,4,1.06014,-1
29.5,4,0.955481,-1
29.6,4,0.83584,-0.972696
29.7,4,0.696107,-0.857771
29.8,4,0.16,-0.357771
29.9,0,0,0
